start	end	type	var	taint_src	taint_dst
3	6	FLOWS_TO			
6	12	FLOWS_TO			
12	18	FLOWS_TO			
18	29	FLOWS_TO			
29	33	FLOWS_TO			
33	4	FLOWS_TO			
36	39	FLOWS_TO			
39	43	FLOWS_TO			
43	47	FLOWS_TO			
47	53	FLOWS_TO			
53	59	FLOWS_TO			
59	65	FLOWS_TO			
65	71	FLOWS_TO			
71	77	FLOWS_TO			
77	83	FLOWS_TO			
83	89	FLOWS_TO			
89	95	FLOWS_TO			
95	101	FLOWS_TO			
101	107	FLOWS_TO			
107	37	FLOWS_TO			
111	114	FLOWS_TO			
114	120	FLOWS_TO			
120	126	FLOWS_TO			
126	137	FLOWS_TO			
137	144	FLOWS_TO			
144	160	FLOWS_TO			
160	166	FLOWS_TO			
166	235	FLOWS_TO			
235	241	FLOWS_TO			
241	112	FLOWS_TO			
137	144	REACHES	page		
160	166	REACHES	page	san-all	
166	235	REACHES	page		
309	314	FLOWS_TO			
314	310	FLOWS_TO			
318	323	FLOWS_TO			
323	333	FLOWS_TO			
333	338	FLOWS_TO			
338	345	FLOWS_TO			
338	442	FLOWS_TO			
345	355	FLOWS_TO			
355	366	FLOWS_TO			
366	373	FLOWS_TO			
373	380	FLOWS_TO			
380	391	FLOWS_TO			
391	402	FLOWS_TO			
402	409	FLOWS_TO			
409	338	FLOWS_TO			
442	319	FLOWS_TO			
391	409	REACHES	request		
409	409	REACHES	data		
333	409	REACHES	data	san-all	
409	442	REACHES	data		
333	442	REACHES	data	san-all	
355	345	REACHES	line		
345	355	REACHES	line		
355	366	REACHES	line		
355	373	REACHES	line		
355	380	REACHES	line		
355	391	REACHES	line		
355	402	REACHES	line		
323	338	REACHES	file_array		
402	409	REACHES	ip		
373	409	REACHES	vulnerability		
366	409	REACHES	datetime		
380	409	REACHES	variable		
447	454	FLOWS_TO			
454	460	FLOWS_TO			
454	448	FLOWS_TO			
460	473	FLOWS_TO			
473	479	FLOWS_TO			
479	484	FLOWS_TO			
484	448	FLOWS_TO			
460	473	REACHES	fp		
490	495	FLOWS_TO			
495	500	FLOWS_TO			
