start	end	type
2	3	ENTRY
2	4	EXIT
7	8	PARENT_OF
6	7	PARENT_OF
9	10	PARENT_OF
9	11	PARENT_OF
6	9	PARENT_OF
5	6	PARENT_OF
15	16	PARENT_OF
14	15	PARENT_OF
13	14	PARENT_OF
13	17	PARENT_OF
12	13	PARENT_OF
5	12	PARENT_OF
19	20	PARENT_OF
18	19	PARENT_OF
23	24	PARENT_OF
23	25	PARENT_OF
22	23	PARENT_OF
26	27	PARENT_OF
26	28	PARENT_OF
22	26	PARENT_OF
21	22	PARENT_OF
18	21	PARENT_OF
5	18	PARENT_OF
30	31	PARENT_OF
29	30	PARENT_OF
29	32	PARENT_OF
5	29	PARENT_OF
5	33	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
35	36	ENTRY
35	37	EXIT
40	41	PARENT_OF
39	40	PARENT_OF
39	42	PARENT_OF
38	39	PARENT_OF
44	45	PARENT_OF
43	44	PARENT_OF
43	46	PARENT_OF
38	43	PARENT_OF
49	50	PARENT_OF
48	49	PARENT_OF
48	51	PARENT_OF
47	48	PARENT_OF
47	52	PARENT_OF
38	47	PARENT_OF
55	56	PARENT_OF
54	55	PARENT_OF
54	57	PARENT_OF
53	54	PARENT_OF
53	58	PARENT_OF
38	53	PARENT_OF
61	62	PARENT_OF
60	61	PARENT_OF
60	63	PARENT_OF
59	60	PARENT_OF
59	64	PARENT_OF
38	59	PARENT_OF
67	68	PARENT_OF
66	67	PARENT_OF
66	69	PARENT_OF
65	66	PARENT_OF
65	70	PARENT_OF
38	65	PARENT_OF
73	74	PARENT_OF
72	73	PARENT_OF
72	75	PARENT_OF
71	72	PARENT_OF
71	76	PARENT_OF
38	71	PARENT_OF
79	80	PARENT_OF
78	79	PARENT_OF
78	81	PARENT_OF
77	78	PARENT_OF
77	82	PARENT_OF
38	77	PARENT_OF
85	86	PARENT_OF
84	85	PARENT_OF
84	87	PARENT_OF
83	84	PARENT_OF
83	88	PARENT_OF
38	83	PARENT_OF
91	92	PARENT_OF
90	91	PARENT_OF
90	93	PARENT_OF
89	90	PARENT_OF
89	94	PARENT_OF
38	89	PARENT_OF
97	98	PARENT_OF
96	97	PARENT_OF
96	99	PARENT_OF
95	96	PARENT_OF
95	100	PARENT_OF
38	95	PARENT_OF
103	104	PARENT_OF
102	103	PARENT_OF
102	105	PARENT_OF
101	102	PARENT_OF
101	106	PARENT_OF
38	101	PARENT_OF
38	107	PARENT_OF
35	38	PARENT_OF
34	35	FILE_OF
108	34	DIRECTORY_OF
110	111	ENTRY
110	112	EXIT
115	116	PARENT_OF
114	115	PARENT_OF
117	118	PARENT_OF
117	119	PARENT_OF
114	117	PARENT_OF
113	114	PARENT_OF
123	124	PARENT_OF
122	123	PARENT_OF
121	122	PARENT_OF
121	125	PARENT_OF
120	121	PARENT_OF
113	120	PARENT_OF
